grab_item_id,name_en,name_th,price_thb,category,availability
THITE2023111408055732309,Deep-fried enoki mushrooms in batter,เห็ดเข็มทองทอด,149,snacks,AVAILABLE
THITE2023111408071345816,Fried banana fritters,กล้วยทอด,119,snacks,AVAILABLE
THITE2023111408082805071,Vegan seaweed fish roll,ปลาม้วนสาหร่ายเจ,149,snacks,AVAILABLE
THITE2023111412183840968,Curry-paste kale stir-fry with crispy vegan pork,ผัดเครื่องแกงคะน้าหมูกรอบเจ,179,one-plate,AVAILABLE
THITE2023112107382652291,Kiwi mango smoothie,กีวี่มะม่วงปั่น,99,drinks,AVAILABLE
THITE2023122800120373952,Vegan grilled pork,หมูย่างเจ,179,snacks,AVAILABLE
THITE2023122800131927507,Vegan shiitake mushroom balls,ลูกชิ้นเห็ดหอมเจ,149,snacks,AVAILABLE
THITE2023122800161820985,Vegan seaweed balls,ลูกชิ้นสาหร่ายเจ,149,snacks,AVAILABLE
THITE2023122800200180463,Vegan black pepper balls,ลูกชิ้นพริกไทยดำเจ,149,snacks,AVAILABLE
THITE2023122800233480479,Vegan fish balls,ลูกชิ้นปลา,149,snacks,AVAILABLE
THITE2023122800253680505,Tempura vegetables,ผักชุปแป้งทอด,149,snacks,AVAILABLE
THITE2023122800272082453,Mushroom naem,แหนมเห็ด,159,snacks,AVAILABLE
THITE2024012612360791264,French fries,เฟรนช์ฟรายส์,129,snacks,AVAILABLE
THITE2024020210260346089,Stir-fried kale with vegan sea bass,ผัดคะน้าปลากะพงเจ,150,mains-share,AVAILABLE
THITE2024020210283235902,Vegan ham fried rice,ข้าวผัดแฮม,150,one-plate,AVAILABLE
THITE2024020210355657994,Pad Mama — stir-fried instant noodles,ผัดมาม่าเจ,150,one-plate,AVAILABLE
THITE2024020311245934350,Vegan tuna sandwich with fries,ทูน่าแซนวิชเจกับมันทอด,160,pizza-fastfood,AVAILABLE
THITE2024122812072534360,Pancake,แพนเค้ก,159,snacks,AVAILABLE
THITE2025030509223867217,Spicy pad cha vegan sea bass,ปลากระพงเจผัดฉ่า,169,mains-share,AVAILABLE
THITE2025030509272446505,Fresh vegetable salad,สลัดผัก,149,snacks,AVAILABLE
THITE2025030509292308007,Eryngii mushroom pad krapao over rice,กระเพราเห็ดออรินจิราดข้าว,159,one-plate,AVAILABLE
THITE2025102104483148634,Spinach pizza vegan,พิซซ่าผักโขมเจ,439,pizza-fastfood,AVAILABLE
THITE2025102104502425682,Vegetable pizza vegan,พิซซ่าผักรวมเจ,439,pizza-fastfood,AVAILABLE
THITE2025102104521999265,Margherita pizza vegan,พิซซ่ามาร์เกริต้าเจ,419,pizza-fastfood,AVAILABLE
THITE2025102104535395368,Hawaiian pizza vegan,พิซซ่าฮาวายเอี้ยนเจ,439,pizza-fastfood,AVAILABLE
THITE2026052712583414406,Fresh fruit,ผลไม้สด,149,snacks,AVAILABLE
THITE2026052713420946485,Vegan fried salted fish,ปลาเค็มทอด,149,snacks,AVAILABLE
THITE2026052713435412411,Vegan Thai fish cakes,ทอดมันเจ,169,snacks,AVAILABLE
THITE2026052713455045586,Vegan fried chicken (drumstick),น่องไก่เจทอด,149,snacks,AVAILABLE
THITE2026052713474490903,Vegan fried barramundi,ปลากะพงเจทอด,149,snacks,AVAILABLE
THITE2026052713493505677,Vegan hamburger,แฮมเบอร์เกอ,199,snacks,AVAILABLE
THITE2026052713510380482,Fried vegetables tofu,เต้าหู้ผักทอด,149,snacks,AVAILABLE
THITE2026052714223958743,Fried vegan chicken,เนื้อไก่เจทอด,149,snacks,AVAILABLE
THITE2026052714244999276,Crispy vegan shrimp,กุ้งเจทอดกรอบ,189,snacks,AVAILABLE
THITE2026052714264160265,Vegan spring rolls,เปาะเปี๊ยะทอดไส้ผัก,150,snacks,AVAILABLE
THITE2026052802352287776,Vegan mushroom fried rice,ข้าวผัดเห็ด,149,one-plate,AVAILABLE
THITE2026052802390395240,Vegan basil pork stir-fry with rice and vegan fried egg,กะเพราราดข้าวไข่ดาวเจ,189,one-plate,AVAILABLE
THITE2026052802415248134,Vegan pad thai,ผัดไทยเจ,149,one-plate,AVAILABLE
THITE2026052802442496050,Vegan black pepper steak,สเต็กซอสพริกไทยดำ,359,one-plate,AVAILABLE
THITE2026052802463953842,Vegan creamy steak,สเต็กครีมซอส,359,one-plate,AVAILABLE
